note,dom (fifth),subdom (fourth),relative,parallel
C,G,F,Am,Cm
G,D,C,Em,Gm
D,A,G,Bm,Dm
A,E,D,F#m,Am
E,B,A,C#m,Em
B,F#,E,G#m,Bm
F#,C#,B,D#m,F#m
C#,G#,F#,A#m,C#m
G#,D#,C#,Fm,G#m
D#,A#,G#,Cm,D#m
A#,F,D#,Gm,A#m
F,C,A#,Dm,Fm
Cm,Gm,Fm,D#,C
Gm,Dm,Cm,A#,G
Dm,Am,Gm,F,D
Am,Em,Dm,C,A
Em,Bm,Am,G,E
Bm,F#m,Em,D,B
F#m,C#m,Bm,A,F#
C#m,G#m,F#m,E,C#
G#m,D#m,C#m,B,G#
D#m,A#m,G#m,F#,D#
A#m,Fm,D#m,C#,A#
Fm,Cm,A#m,G#,F
